sup,eri,ont,mih,month,year
-275.6550709516091,1969.9159446307099,1660.6292553873604,4758.568445518288,1,2025
-546.5601152103018,1073.399663839975,1177.034946809883,1206.4633145678852,2,2025
479.0402759604501,427.101334194876,935.9810512475484,2463.2854356286653,3,2025
1349.7941133777333,1212.1819170708245,1107.4676293859268,4359.307663391229,4,2025
2287.4963074632365,826.6071518217899,935.0836912083336,963.8737164933609,5,2025
-144.9359880857255,107.430710891084,1742.2958791940225,1696.3270190473372,10,2024
2565.0252179557137,-272.8362559196878,590.4381129547432,1068.5400304134214,11,2024
-1204.135622160852,-22.822118985922998,770.3606305055109,510.52240225253627,12,2024
999.8187389617135,736.0616247033613,1142.780026646638,2116.6066896985667,1,2025
-367.78225443080487,863.3234145791331,1226.1786875739313,2744.1757565225594,2,2025
-1035.7701959000124,1604.3416493186,1404.1266432900484,2976.126116750865,3,2025
2403.2096465025375,2177.1031731001663,2202.262917041445,5876.105561314222,4,2025
2647.3883114211867,545.0463387126965,749.3437521172737,6218.569209366964,5,2025
771.9699005993878,-70.37498188563723,178.1760854684685,791.1206684689791,10,2024
1206.6550540002413,2065.65651284154,1980.303016516647,6519.013798397469,11,2024
-1145.3570232145084,1630.3174396364434,1633.7736684182887,2434.4021457542913,12,2024
-1113.40286422172,257.98752666138114,806.4589539629253,737.6403099325767,1,2025
-867.1092698457351,392.3739569420106,761.5104047290212,49.35788715324725,2,2025
725.2455701481957,2955.779216717278,2563.0573225025582,9654.108725968405,3,2025
1579.3929082608254,21.117789226613013,952.9716441224244,5432.280785381435,4,2025
2707.429149401328,-572.019961968037,314.74430580044486,2207.488910480679,5,2025
708.1440145644272,-421.63383104135823,191.16908152215422,-163.18441644485074,10,2024
-801.1617596442279,-498.00752005047525,708.3813138408209,-749.8360236864901,11,2024
-1036.2405294265745,-363.9605376846223,391.3381290145701,-139.99215021823147,12,2024
-364.5552391095864,1420.8501630780393,1485.4998905155473,3150.253066592443,1,2025
-818.861842309253,1405.6890834370895,1233.803471132636,2331.779656290905,2,2025
-1032.3310414106832,1019.4241516377227,1394.5655249098584,2700.76576313808,3,2025
-779.4030306911341,2188.0380353371083,1769.9762104019387,2175.8338096407947,4,2025
748.8401613726425,2039.1256615785658,2275.4337052017413,8435.270836250176,5,2025
1721.4618282524368,-243.6382227138456,519.7536300248653,1553.8607343574731,10,2024
-1181.404074470529,-545.0823872297517,690.3538197631372,-65.05147849374134,11,2024
-1578.0362775260514,1508.8045104635485,1468.7548096503333,697.2052486386046,12,2024
-991.362467545941,608.6131516253647,1261.8379558731724,1186.590235347176,1,2025
-962.775687458367,506.9951765262599,876.0787040686469,1267.0906880500627,2,2025
-1019.3975333029985,1113.095937323253,1238.4317966621477,783.6097211159067,3,2025
3565.8446890141036,363.7055638107841,994.9101446373306,4112.221536200694,4,2025
1867.6528020762828,379.1022718605321,298.3344878577043,800.1029809966008,5,2025
-30.691844504198343,-709.769253409934,689.9650167999633,-379.3558274267257,10,2024
-1415.8481542359737,252.59964001092612,856.8115841803617,471.88170035557096,11,2024
-1022.008278121375,84.90945492896367,517.0188954197687,410.45075123333254,12,2024
-358.94179750726767,526.5125080044721,770.3765540883082,2149.0494757387623,1,2025
-1008.2237726418562,1016.2384273125048,1291.4181416402382,1447.586718665751,2,2025
-659.2792259652042,1731.2521530782087,2007.3419457020511,4818.239239123985,3,2025
396.24200462792624,1260.1659969284049,1141.9000188241228,3410.89251355201,4,2025
3392.8850786474986,-57.381417980478204,412.75338123627864,1999.2751624928599,5,2025
-331.73123850989214,-590.7344929689909,568.9971524669993,554.7375066494824,10,2024
-1104.1300462811537,1408.7650722935762,1744.047378529021,1563.1361315417128,11,2024
-271.0322345288196,384.80320153458234,815.8609800795784,1962.8374562382448,12,2024
-687.5110952924069,870.8632122508787,922.8647017291396,2335.2573630708857,1,2025
-1486.7898510404075,1232.282009000738,1629.551847494054,1765.3089077707352,2,2025
-163.9807813692339,1327.1432743383837,1600.7029123485847,4056.3311064213576,3,2025
2720.9229041693425,2262.4916085393115,2357.0874155259426,9075.764674241025,4,2025
1312.0167321259664,1208.957650826851,1869.4109358884557,5235.284450988665,5,2025
1314.299581818736,-320.8685123973305,185.76785542482355,1312.1134241731554,10,2024
807.2400932571019,536.7103322450212,979.2343626481329,1183.255353277153,11,2024
-1055.2625062718425,-52.59216128264245,698.0282974341337,-2.854894281504585,12,2024
-807.7178547779799,1801.4544842415635,2257.937914081158,1835.7741498250982,1,2025
-1482.9728317138997,2027.168416945883,1777.823820946832,3261.527233690365,2,2025
-1422.866245086896,1974.3312722895926,1857.170415609145,3669.506240697564,3,2025
624.3614688768046,1999.2595703336199,1890.745443887984,3689.0628924508246,4,2025
2049.8827161373847,1104.7920001691027,776.8510952526697,2184.6735778473026,5,2025
993.736819029938,-893.1238372712348,624.8092887565397,910.2996269609839,10,2024
-1164.846116469912,1100.942207127347,1769.4574718181495,4297.7006565575375,11,2024
-425.64143387048057,3078.688506359717,2360.004463372403,3068.4266931862226,12,2024
969.0448562179224,1465.7755474688952,1396.6387249566214,3389.108931699698,1,2025
53.15683673939793,-84.38687418289453,577.5288847300467,1286.1626687882451,2,2025
831.6825617394741,1086.0168584625012,1536.5267518039082,3971.4871427060107,3,2025
1619.7204523932514,1622.1945294079587,2025.467631988924,6114.196802170274,4,2025
1706.8816443118178,-155.24048461820894,246.91518759370956,622.9993392597985,5,2025
1325.6121414443603,-427.6679563221128,419.05523813950845,2432.842276475331,10,2024
-460.6711252757532,683.7166645917782,1449.1459315369552,4382.155167498419,11,2024
274.68782925514256,565.2170441535204,1184.8435580996713,2839.2918974105983,12,2024
-243.50181090559477,669.7168109392868,792.3897999505617,1072.5017150664896,1,2025
-547.1009045368669,189.35574803106954,801.5741578732342,680.5423813124507,2,2025
-915.5163243683469,1158.725648584271,1284.386582450377,1664.0076710800647,3,2025
-195.18475537496397,668.5287168836684,1120.836998218358,2903.664114111165,4,2025
2712.043795901503,199.58294583914767,621.650639143637,2373.20662094659,5,2025
496.5930644603028,-471.7220878990281,912.6823980109606,-310.08670110391495,10,2024
320.64649844908763,-482.8871678015046,713.2996752419674,-482.55123793987104,11,2024
-557.7687362298361,-213.5306268680397,725.757251551637,832.1175439365438,12,2024
-741.5244222189272,-168.1538389837931,547.2429552050648,566.2539560356181,1,2025
-705.4435605365966,226.8266537488015,577.4397849146377,163.08976201418773,2,2025
712.648478287739,1268.0427206213344,1399.40932698474,3208.1752623320385,3,2025
670.2432865982445,826.7155129479057,1158.2317556620276,2739.4648630045594,4,2025
3350.2323425538434,157.80582385725427,669.7290903000032,3324.9317559836145,5,2025
92.51257773005409,-543.2794314997361,452.2618111674436,-929.5911306643943,10,2024
-705.9479258197775,223.2155512523576,993.1462670946459,838.209312586016,11,2024
866.6293040940732,1721.47001548683,2058.8647039624875,5649.66054414473,12,2024
-557.4825289059149,1273.2900650789757,1163.3547101677052,1958.5346154452602,1,2025
-616.9399962924931,1595.9221287216094,1495.330738451055,2861.267857169576,2,2025
512.7559827461147,2642.3411659481226,2143.754644590541,5349.032377050207,3,2025
1342.721717951627,3196.731916742071,1666.6577018994417,6116.755824051956,4,2025
1472.255586972795,793.3125729129173,533.1722745105005,1985.4221484493755,5,2025
591.6695571369843,-299.38129381963176,473.62485583905175,-94.6844323409814,10,2024
-1341.5446170907521,707.7540169571241,1196.9533133814573,1784.0484241954678,11,2024
-1234.3265195978943,827.1464058208188,1087.108962732861,2721.473294152937,12,2024
-15.483587590771322,477.875481038166,1199.2964324880118,2521.59862780629,1,2025
1884.5547646204775,1325.1011440606685,1519.684793696921,5369.028133712529,2,2025
-268.6141412976947,1107.8780854795762,1680.210339796463,2474.3139560239415,3,2025
1730.3936789986196,788.5553244491878,1406.8334336281357,4820.832124252018,4,2025
1466.9334735287011,16.059553815268373,247.84107498489425,1499.3418449127983,5,2025
-23.9017158783563,-279.53789426074513,513.3507066287931,-837.1981621365385,10,2024
741.1313004782206,490.9792276083014,1076.5863698293456,2835.932229724726,11,2024
-571.9416433900315,584.8088236903669,1170.8200771470395,2127.5059202526363,12,2024
