SU_ID,ER_ID,ON_ID,MIHU_ID
41047263,,21631871,41018098
41047265,,21631863,41018105
41047283,,15568147,41018115
41047304,,41151420,41018119
41047310,,15558035,41018131
41047315,,15558013,41018159
41047318,,21631671,41018190
41047323,,15505148,41018192
41047345,,15505208,41018199
41047346,,,41018202
41047544,,,41018242
4795106,,,41018248
4797842,,,41018265
4798034,,,41018268
4797710,,,41018280
4797908,,,41018290
4798238,,,41018291
4803982,,,41018298
4798150,,,41018299
4798250,,,41018306
4798262,,,41018318
4803768,,,41018328
4803748,,,41018329
4803716,,,41018332
4803714,,,41018337
4803662,,,41018367
4803114,,,41018374
4798254,,,41018382
4803688,,,41018384
4803682,,,41018412
4798266,,,41018421
4798218,,,41018430
4798216,,,41018437
4798206,,,41018449
4798204,,,41018477
4798180,,,41018528
4798162,,,41018532
4798156,,,41018533
4798132,,,41018538
4798082,,,41018543
4798000,,,41018552
4798492,,,41018607
4798490,,,41018632
4797974,,,41018639
4798484,,,41018695
4798482,,,41018697
4798480,,,41018701
4797884,,,41018705
4798448,,,41018714
4798220,,,41018731
4798200,,,41018736
4798192,,,41018753
4798130,,,41018755
4798124,,,41018776
4798116,,,41018803
4798072,,,41018807
4798036,,,41018819
4798012,,,41018822
4797990,,,41018843
4797946,,,41018844
4797924,,,41018855
4797880,,,41018905
4797810,,,41018912
4795068,,,41018920
4795146,,,41018940
4797802,,,41018941
4797766,,,41018948
4797752,,,41018952
4797688,,,41018960
4795096,,,41018978
4795094,,,41019002
4795092,,,41019018
4795084,,,41019026
4795150,,,41019048
4795046,,,41019080
4795032,,,41019089
4803770,,,41019119
4795086,,,41019132
1755176,,,41019146
1758800,,,41019149
1758804,,,41019183
1757786,,,41019186
1757784,,,41019253
1757782,,,41019527
1757780,,,41019543
1757778,,,41019573
1757768,,,41019654
1757760,,,41019681
1757750,,,41019741
1757738,,,41019786
1757728,,,41019866
1757732,,,41019876
1757816,,,41019897
1757624,,,41020039
1755360,,,41020100
1755248,,,41020228
1755230,,,41020258
1755144,,,41020305
1755138,,,41020407
1755136,,,41020623
1755124,,,41020978
1755046,,,41021061
1754986,,,41021163
1755598,,,41021189
1755318,,,41021220
1757696,,,41021246
1757736,,,41021264
1757754,,,41021306
1758820,,,41021318
1758816,,,41021348
1757774,,,41021360
1757766,,,41021375
1755342,,,41021383
1755320,,,41021408
1755308,,,41021411
1755260,,,41021444
1755224,,,41021458
1755208,,,41021481
1755188,,,41021489
1755164,,,41021500
1755116,,,41021517
1755094,,,41021519
1755080,,,41021554
1754952,,,41021557
1754932,,,41021578
1776864,,,41021581
1776844,,,41021598
1776884,,,41021613
1776910,,,41021625
1776916,,,41021637
1776930,,,41021652
1777724,,,41021686
1777692,,,41021736
1776732,,,41021752
1777782,,,41021753
1777614,,,41021763
1777606,,,41021785
1777684,,,41021802
1777322,,,41021830
1776674,,,41021850
1777788,,,41021893
1777598,,,41021905
904010070,,,41021939
1799857,,,41021953
1799871,,,41021972
1799875,,,41021984
1799017,,,41021988
1797169,,,41021992
1798091,,,41022011
1798171,,,41022014
1798081,,,41022029
1797969,,,41022030
1796741,,,41022039
1796819,,,41022051
1796917,,,41022062
1796913,,,41022063
1796915,,,41022070
1796947,,,41022071
1796953,,,41022080
1796919,,,41022086
1797163,,,41022095
1796841,,,41022099
1796839,,,41022116
1796821,,,41022120
1796793,,,41022122
1796789,,,41022125
1796757,,,41022132
1797127,,,41022138
1796701,,,41022147
1796643,,,41022154
1796577,,,41022167
1796575,,,41022238
1796543,,,41022242
1796507,,,41022280
1797113,,,41022282
1796525,,,41022330
1796535,,,41022345
1797665,,,41022347
1797667,,,41022376
1797683,,,41022387
1797729,,,41022397
1797745,,,41022413
1797777,,,41022429
1797781,,,41022442
1797161,,,41022452
1796893,,,41022477
1796891,,,41022483
1796665,,,41022494
1796633,,,41022496
1796493,,,41022502
1796501,,,12174120
1797669,,,12176064
1797677,,,12177452
1797707,,,12177448
1798945,,,12175800
1797727,,,12175754
1797701,,,12175752
1798961,,,12175746
1797789,,,12175738
1797821,,,12175732
1797891,,,12174104
1799025,,,12175926
1797981,,,12177444
1798181,,,12175770
1797979,,,12175714
1797971,,,12175428
1797967,,,12175398
1798003,,,12175316
1797993,,,12175288
1797973,,,12173888
1798029,,,12173858
1798031,,,12175726
1798225,,,12176056
1798149,,,12175464
1798153,,,12175446
1798159,,,12175328
904010176,,,12175246
1797889,,,12175226
1797887,,,12173834
1797885,,,12173770
1799023,,,12173468
1799027,,,12173372
1799029,,,12173320
1797949,,,12173312
1798075,,,12173292
1798027,,,12173192
1798059,,,12173182
1798125,,,13063663
1799033,,,12173730
1798069,,,12173600
1798265,,,12173444
1798087,,,12173424
1798213,,,12173396
1798155,,,12173118
1798349,,,12174106
1798105,,,13063087
1799877,,,13063243
1797813,,,13063813
1797335,,,13065641
904010093,,,13064719
1812799,,,13063771
1812821,,,13063541
1812817,,,13063531
1812833,,,13063509
1812803,,,13063479
1812773,,,13063449
1813219,,,13063295
1812801,,,13063231
1812777,,,13063205
1812771,,,13063173
1812759,,,13063167
1812815,,,13063653
1812807,,,13062819
1812763,,,13062701
1812751,,,13063111
1812755,,,13063667
25110300,,,13063095
6790753,,,13063655
6790477,,,13063779
6790461,,,13063119
6789339,,,13063661
6789295,,,13063229
6789277,,,13063241
6789333,,,13063715
6790295,,,13063291
6789287,,,13063351
6789305,,,13063373
6789283,,,13063797
6789341,,,6802142
6789343,,,6802138
6789337,,,6800314
6789351,,,6800246
6789415,,,6800240
6789493,,,6800228
6789521,,,13063493
6789653,,,13063427
6789683,,,13063265
6789759,,,13063193
6789273,,,13063689
6789275,,,13063109
6789281,,,13063105
6789309,,,13063649
6789303,,,13063073
6789293,,,13062717
6789427,,,13062711
6789345,,,13063123
6789335,,,13063121
6789381,,,13063125
6789383,,,13063115
6789557,,,13063665
6789841,,,13063129
6789639,,,13063147
6789829,,,13063177
6789811,,,13063213
6790743,,,13063249
6790761,,,13063309
6790775,,,13063357
6790771,,,13063271
6790755,,,6800318
6790779,,,6800174
6790773,,,6810610
6790783,,,6810592
6790795,,,6800320
6790807,,,6800306
6790815,,,6804134
6790811,,,904030503
6790789,,,904030258
6790793,,,6821476
6790823,,,6818666
6790827,,,6818616
6790833,,,6818598
6790801,,,6821596
6790843,,,6818892
6790849,,,6810428
6790847,,,6810588
6790859,,,6810584
6790861,,,6810582
6790863,,,904030180
6790855,,,6848697
6790871,,,6860820
6790893,,,6860618
6790891,,,6860696
6790903,,,6860688
6790907,,,6860686
6790909,,,6860676
6790923,,,6860674
6790959,,,6860844
6790741,,,6860838
6790749,,,6860660
6790769,,,6860658
6790835,,,6859832
6790877,,,904030537
6790875,,,11962312
6789715,,,6859876
6790945,,,6860704
11947179,,,6860670
11936621,,,6860668
11937191,,,6860836
11937537,,,6860812
11937485,,,6860294
11937491,,,6859834
11937369,,,904030279
11937361,,,12014864
11937569,,,12014974
11937695,,,12014872
11937613,,,12015858
11937527,,,12014876
11937375,,,272587
11937999,,,272593
11937983,,,272615
11938085,,,272471
11936623,,,272601
11936629,,,272633
11936919,,,272631
11937867,,,272585
11936933,,,272627
11936943,,,12014882
11936967,,,272469
11937061,,,272481
11937903,,,272637
11937913,,,272629
11937919,,,272623
11937133,,,272635
11937141,,,272479
11937119,,,272475
11937931,,,272613
11937163,,,272465
11937337,,,272459
11939853,,,272427
11940369,,,13063403
11938897,,,13063743
11937355,,,6801700
11937025,,,12005077
11937383,,,13063485
11938045,,,13063551
11937081,,,25281296
11937067,,,3398614
11937051,,,3396642
11936617,,,3397076
11936561,,,3396774
11936909,,,904040042
11937865,,,3396492
11936947,,,3396498
11936973,,,3396530
11937007,,,3396534
904020366,,,3396686
11937115,,,3396822
11937129,,,3398608
11937419,,,12169285
11937277,,,12170725
11937217,,,12170749
11937285,,,12170747
11938005,,,12170745
11937371,,,12169241
11937395,,,12169237
11937387,,,12169051
11937399,,,3398602
11937421,,,3398604
11937423,,,904040028
11937437,,,904040037
11937489,,,904040039
11937465,,,12170717
11937521,,,12170743
11937553,,,12170737
11937587,,,12169213
11937599,,,12169095
11937621,,,12169069
11937773,,,12169039
11937765,,,12168979
11937789,,,12162694
11937787,,,12177468
11937777,,,12177458
11939725,,,12257100
11939757,,,9019599
11939733,,,9017677
11939775,,,9017681
11939769,,,9017689
11939883,,,9017745
11940339,,,9019275
11937703,,,9019305
11937781,,,9019483
11939765,,,9017355
11939735,,,9017399
11939743,,,9017651
11939829,,,9017779
11938137,,,9019381
11938181,,,9019469
11938173,,,9017845
11938167,,,9017879
11938199,,,3468447
11938219,,,9005799
11938217,,,8988598
11938215,,,8992030
11938203,,,8990958
11938131,,,8988488
11938123,,,8988494
11938089,,,8988500
11938113,,,8988508
11938105,,,8991232
11938091,,,8991512
166764429,,,8991710
166764433,,,8994306
904020191,,,8994074
11936653,,,8994250
11938229,,,8994422
11938169,,,8992094
11938103,,,8992070
904020319,,,8994444
12027582,,,8994418
12025422,,,12135518
12027042,,,12121910
12027068,,,12226799
904020414,,,12228491
12027306,,,12229193
12026142,,,13057708
12025980,,,13057616
12025870,,,12228417
12025594,,,12227771
12027090,,,12227759
904020408,,,12226815
12026956,,,12226795
12025344,,,12226797
12026118,,,12228449
12027570,,,12229271
12026084,,,12228571
12026068,,,12229285
12025794,,,13056258
12027546,,,13054216
12027556,,,13054218
12027046,,,13054538
12027012,,,13055080
12026982,,,13055666
12027118,,,13056274
12027242,,,13056190
12027576,,,13058050
12027572,,,13057728
12026954,,,13058062
12027096,,,13057682
12027072,,,13056218
12027088,,,13056116
12027544,,,13055898
12026966,,,13054320
12026988,,,13054498
12026962,,,13054506
12026990,,,13056270
12027032,,,13056272
12027004,,,13055738
12026960,,,13055782
12026972,,,13055882
12027092,,,13057588
12027548,,,13058052
12027020,,,13058072
12027560,,,13058006
12026976,,,13056324
12027550,,,13056032
904020238,,,13056340
904020223,,,12222816
904020263,,,12216441
904020463,,,12216491
12018914,,,12216901
12018230,,,12216899
12016728,,,12216891
12017420,,,12216977
12018270,,,12216979
12018190,,,12216451
12018226,,,12216435
12021054,,,12216423
12021060,,,12216419
12021072,,,12216483
12021910,,,12216443
12018218,,,12216445
904020183,,,12216487
904020214,,,12214761
12018926,,,12214733
12021058,,,12216087
12021080,,,12214835
12021128,,,12216895
12021042,,,12216897
12018182,,,12216489
12017412,,,12216475
12017384,,,12214759
12017410,,,12214439
12017656,,,12214461
12017648,,,12214473
12017366,,,12214481
12017616,,,12214743
12017380,,,12216197
12018186,,,12216103
12018282,,,12216201
12018208,,,12216903
12018214,,,12211386
12021088,,,12211394
12021298,,,12210298
12021048,,,12210310
12018222,,,12210312
25270989,,,12211158
12186639,,,12208196
12183717,,,12206602
12183713,,,12214477
12183997,,,12214737
12183695,,,12214735
12185431,,,12214495
12183173,,,12216199
12184001,,,12214729
12184125,,,12211378
12183701,,,12211390
904020315,,,12211372
12183771,,,12211382
12183755,,,12206384
12183743,,,12208354
12184131,,,12208254
11938115,,,12206570
166764428,,,12208206
4798106,,,12208216
4797846,,,12208232
1776902,,,12207772
1797347,,,12206576
12025324,,,12200848
1757748,,,12203198
,,,12203014
,,,12203128
,,,12203124
,,,12203120
,,,12203114
,,,12203004
,,,12200996
,,,12200990
,,,12200986
,,,12200972
,,,12200818
,,,12200262
,,,12200258
,,,12200250
,,,12200404
,,,12200384
,,,12200368
,,,12200224
,,,12208348
,,,12208358
,,,12208350
,,,12206350
,,,12206388
,,,12206394
,,,12208208
,,,12208222
,,,12208242
,,,12208244
,,,12207776
,,,12207774
,,,12202298
,,,12200834
,,,12200900
,,,12201060
,,,12203126
,,,12200980
